<END>,0
<START>,1
<unk>,2
c0,3
c1,4
c10,5
c100,6
c101,7
c102,8
c103,9
c104,10
c105,11
c106,12
c107,13
c108,14
c109,15
c11,16
c110,17
c111,18
c112,19
c113,20
c114,21
c115,22
c116,23
c117,24
c118,25
c119,26
c12,27
c120,28
c121,29
c122,30
c123,31
c124,32
c125,33
c126,34
c127,35
c128,36
c129,37
c13,38
c130,39
c131,40
c132,41
c133,42
c134,43
c135,44
c136,45
c137,46
c138,47
c139,48
c14,49
c140,50
c141,51
c142,52
c143,53
c144,54
c145,55
c146,56
c147,57
c148,58
c149,59
c15,60
c150,61
c151,62
c152,63
c153,64
c154,65
c155,66
c156,67
c157,68
c158,69
c159,70
c16,71
c160,72
c161,73
c162,74
c163,75
c164,76
c165,77
c166,78
c167,79
c168,80
c169,81
c17,82
c170,83
c171,84
c172,85
c173,86
c174,87
c175,88
c176,89
c177,90
c178,91
c179,92
c18,93
c180,94
c181,95
c182,96
c183,97
c184,98
c185,99
c186,100
c187,101
c188,102
c189,103
c19,104
c190,105
c191,106
c192,107
c193,108
c194,109
c195,110
c196,111
c197,112
c198,113
c199,114
c2,115
c20,116
c200,117
c201,118
c202,119
c203,120
c204,121
c205,122
c206,123
c207,124
c208,125
c209,126
c21,127
c210,128
c211,129
c212,130
c213,131
c214,132
c215,133
c216,134
c217,135
c218,136
c219,137
c22,138
c220,139
c221,140
c222,141
c223,142
c224,143
c225,144
c226,145
c227,146
c228,147
c229,148
c23,149
c230,150
c231,151
c232,152
c233,153
c234,154
c235,155
c236,156
c237,157
c238,158
c239,159
c24,160
c240,161
c241,162
c242,163
c243,164
c244,165
c245,166
c246,167
c247,168
c248,169
c249,170
c25,171
c250,172
c251,173
c252,174
c253,175
c254,176
c255,177
c256,178
c257,179
c258,180
c259,181
c26,182
c260,183
c261,184
c262,185
c263,186
c264,187
c265,188
c266,189
c267,190
c268,191
c269,192
c27,193
c270,194
c271,195
c272,196
c273,197
c274,198
c275,199
c276,200
c277,201
c278,202
c279,203
c28,204
c280,205
c281,206
c282,207
c283,208
c284,209
c285,210
c286,211
c287,212
c288,213
c289,214
